Externe Nr;Kurzname;X-Koordinate;Y-Koordinate;Z-Koordinate;Langname;Übersetzung
100503;EGHN;7,014062543;51,540143030;;Ge-Horst Nord;
103978;EGHS;7,066577211;51,610877980;;Ge-Hassel;
103630;EGK;8,510369812;51,645125690;;Geseke;
102228;EGKS;8,52625812;51,63071776;;Geseke Süd;
136069;EGLO;8,384979093;51,906939500;;Gütersloh Hbf;
195909;EGNH;7,890700699;50,781797650;;Grünebacherhütte;
195891;EGNO;7,902177447;50,777332880;;Grünebach Ort;
105163;EGRA;6,860764820;51,502420000;;Grafenbusch  /Ob;
643718;EGRK;7,374969349;52,123417290;;Grottenkamp;
211284;EGRN;7,022452851;52,215177630;;Gronau (Westf);
101675;EGRO;7,089059713;51,492690860;;Ge-Rotthausen;
210591;EGRV;7,599361898;52,089988940;;Greven;
101311;EGS;7,075020085;51,525993310;;Ge-Schalke;
211854;EGST;7,621361243;51,931376870;;Geist;
85175;EGVA;7,377687971;51,336917430;;Gevelsberg-Knapp;
82651;EGVB;8,017789304;51,141743340;;Grevenbrück;
852913;EGVG;7,408085830;51,340999010;;Gev-Vogels DB-Gr;
80432;EGVH;7,339872343;51,324450670;;Gevelsberg Hbf;
100404;EGZO;7,110125708;51,537654070;;Gelsenk Zoo;
102848;EHAD;6,456032303;51,772394290;;Haldern (Rheinl);
338236;EHAE;8,360989840;51,357000820;;Häger;
13375;AWK;10,365720640;53,866391290;;Wakendorf;
15834;AWLA;8,310012734;54,907638370;;Westerland(Sylt);
11304;AWLB;10,006270409;53,498002714;;Hmb-Wilhelmsbg;
305888;AWLBA;;;;Hmb-Wlb Bft Abzw;
308205;AWLBS;;;;Hmb-Wlb Abzw S-B;
106857;AWLG;10,000691414;53,483244831;;Hmb-Wilhbg DB-Gr;
16261;AWN;10,077169750;53,569953320;;Hamburg-Wandsbek;
910809;AWN F;10,079033375;53,570319858;;Hmb-Wandsbek Wf;
12245;AWOL;9,845763984;53,026082780;;Wolterdingen/Han;
17210;AWR;10,693818790;53,907976380;;Schwart Waldh;
15917;AWRE;8,521195243;53,646475200;;Wremen;
151183;KANR;6,451214334;51,285889700;;Anrath;
909045;KAREG;;;;Ac-Rothe E Gbf;
911166;KAREP;;;;Ac-Rothe E Pbf;
154476;KARL;6,787008245;50,597816260;;Arloff;
152215;KARS;6,206456421;51,152020890;;Arsbeck;
153700;KAS;6,072185220;50,750873400;;Aachen Süd;
313726;KASZ;6,073691851;50,769912820;;Aachen Schanz;
155978;KAU;7,656647589;50,773763210;;Au (Sieg);
911169;KAW G;;;;Aachen West Gbf;
909048;KAW P;;;;Aachen West Pbf;
911146;KAW W;;;;Aachen West Wk;
154856;KB;7,096694688;50,732036430;;Bonn Hbf;
127340;KB  G;7,073885669;50,738094230;;Bonn Gbf;
146282;KBA;6,274120871;51,033451920;;Baal;
151852;KBAG;6,281384428;51,036213350;;Baal Gbf;
84822;KBAY;6,996634714;51,011400050;;L Chempark Hp;
155770;KBB;7,127669378;50,738532740;;Bonn-Beuel;
154906;KBBG;7,159675958;50,683808040;;Bn-Bad Godesberg;
346114;KBBN;7,141830787;50,695269770;;Bn-Bad Gobg Nord;
155192;KBD;7,041462228;50,716407470;;Bonn-Duisdorf;
152835;KBE;6,572706447;50,987475230;;Bedburg (Erft);
107858;KBEC;7,062429763;50,735758600;;Bonn-Endenich N;
152934;KBEE;6,646253575;50,951774890;;Bergheim (Erft);
87015;KBEG;6,827187530;51,205243390;;Berg;
194969;KBEN;7,577305145;50,413323620;;Bendorf (Rhein);
156398;KBGG;7,125176356;50,991686310;;Berg Gladbach;
150144;KBH;6,173412284;51,757971520;;Bedburg-Hau;
107862;KBHH;7,052657828;50,721850720;;Bonn Helmholtzst;
637868;KBHR;6,610170140;50,961452120;;RWE Paffendorf;
346130;KBKS;7,008405560;50,983366310;;Bruder Klaus Sdl;
155903;KBLB;7,348368556;50,768475680;;Blankenberg/Sieg;
156315;KBLH;6,593336739;50,441797020;;Blankenh(Wald);
154922;KBM;7,181473762;50,669031790;;Bonn-Mehlem;
637843;KBMW;6,624762430;51,330978370;;BMW     /Krefeld;
155804;KBO;7,159314284;50,715015120;;Bonn-Oberkassel;
250324;KBOD;7,217227118;50,556251730;;Bad Bodendorf;
151282;KBOI;6,274617598;51,274309240;;Boisheim;
190298;KBOP;7,586043383;50,231449080;;Boppard Hbf;
717298;KBP;7,044515843;50,910304090;;K Businesspark;
398768;KBPS;7,595167124;50,230105010;;Boppard Süd;
128645;KBR G;6,908958717;50,843881070;;Brühl Gbf;
911171;KBR P;;;;Brühl Pbf;
195057;KBRB;7,643205550;50,274148080;;Braubach;
151860;KBRC;6,230611662;51,007382700;;Brachelen;
190066;KBRE;7,304814165;50,504052470;;Bad Breisig;
190074;KBRO;7,332654271;50,481433150;;Brohl;
195313;KBRS;7,663410327;50,747931080;;Breitscheidt;
250209;KBRU;6,972535442;50,489850490;;Ahrbrück;
480046;KBRV;;;;Brühl-Vochem;
151290;KBRY;6,241142442;51,294576470;;Breyell;
150748;KBUE;6,552728830;51,623366230;;Büderich;
667378;KBUH;6,574482528;50,862410590;;Buir | Hp;
80945;KD;6,794380720;51,219493760;;Düsseldorf Hbf;
151621;KBUT;6,606272340;51,197205750;;Büttgen;
667386;KBUU;6,604795770;50,875147490;;Buir Üst;
252544;KBZ;7,554655903;50,210772570;;Bp-Buchholz;
911367;KD  N;;;;Düsseldorf Nordk;
34132;BMZ;12,391890580;52,060654430;;Medewitz (Mark);
807974;KPHF;7,064189590;50,917874660;;Frankf Str Abzw;
134767;KPHN;7,104955110;50,914481100;;Nato;
194084;SHY;7,904599072;49,444128730;;Hochspeyer;
911830;SHY N;;;;Hochspeyer Nord;
911831;SHY O;;;;Hochspeyer Ost;
251009;SHZ;7,413926876;50,227759250;;Hatzenport;
162792;UMT;10,881034760;50,733236410;;Martinroda;
160341;UMU;11,254745050;50,870169490;;München b Berka;
164533;UN;10,789266590;51,492895630;;Nordhausen;
909549;UN  A;10,805397034;51,489453537;;Nordhausen No;
165167;UNA;10,699375920;51,442936440;;Nohra (Wipper);
160481;UND;10,910329610;50,914254320;;Neudietendorf;
165282;UNDO;10,416637720;51,383183570;;Gernro-Niederor;
166330;UNE;11,570069030;51,283452000;;Nebra;
106885;UNEG;11,569333076;51,280803295;;Nebra DB-Gr;
163980;UNH;11,714426940;50,724283050;;Neunhofen;
164434;UNI;10,848205020;51,290053880;;Niederspier;
164582;UNIW;10,763822230;51,545198070;;Niedersachswerf;
160119;UNM;11,796657500;51,163040800;;Naumburg (S) Hbf;
167197;UNME;12,170106140;50,702191600;;Neumühle (Elst);
107616;UNMG;11,807298660;51,167531061;;Naumburg DB-Gr;
166538;UNMO;11,823842525;51,155332550;;Naumburg (S) Ost;
160234;UNOH;11,267833490;50,970026440;;Nohra (b Weimar);
163899;UNP;11,957027100;50,766294370;;Niederpöllnitz;
107614;UNRO;11,780262390;51,167315260;;Naumbg-Roßbach;
164178;UNS;11,637609230;50,875340980;;Neue Schenke;
164566;UNSA;10,773231450;51,515062910;;Nordhausen-Salza;
161513;UNSK;10,375839490;50,716670850;;Niederschmalkald;
160168;UNTA;11,579210420;51,064319400;;Niedertrebra;
163972;UNU;11,757596510;50,734751420;;Neustadt (Orla);
162842;UNWL;11,038355000;50,775479650;;Niederwillingen;
163246;UO;11,544731700;50,775633120;;Orlamünde;
164228;UOB;11,355041460;50,965708930;;Oberweimar;
161893;UOF;10,709363090;50,684234690;;Oberhof (Thür);
162982;UOFM;11,133437360;50,603716710;;Obstfelderschm;
163998;UOG;11,650808250;50,705897210;;Oppurg;
160242;UOGR;11,270766710;50,955515820;;Obergrunstedt;
160598;UOH;;;;Ohrdruf;
160184;UOM;11,425743190;51,019337620;;Oßmannstedt;
164806;UOR;11,297030840;51,441117290;;Oberröblingen;
161281;UORO;10,214350850;50,849941520;;Oberrohn;
163063;UOW;11,135693120;50,579192340;;Oberweißbach-D;
167478;UP;12,003700090;50,587904260;;Pausa;
162875;UPA;11,106005000;50,701131420;;Paulinzella;
163170;UPF;11,645544590;50,977029890;;Porstendorf;
161851;UPL;10,908677890;50,778433900;;Plaue (Thür);
164152;UPM;11,790083970;50,885305290;;Papiermühle;
163402;UPR;11,383645830;50,528318470;;Probstzella;
164004;UPS;11,588090410;50,690281060;;Pößneck ob Bf;
164061;UPSU;11,606886990;50,700501470;;Pößneck unt Bf;
167452;UPW;12,024258050;50,628031170;;Pöllwitz;
160036;UPZ;11,937530160;51,158293050;;Prittitz;
104044;UQAR;9,936447144;51,377486402;;Arenshausen 6343;
104185;UQBG;12,036724091;50,552407481;;Bernsgrün TH/SN;
104173;UQBK;10,968990326;51,456694440;;Berga-Kelbra LGr;
104089;UQER;10,657725334;51,581109897;;Ellrich TH/NI;
104169;UQGH;11,666557789;51,107395440;;Großheringen LGr;
104163;UQGR;12,173538208;50,620090594;;Greiz-Dölau LGr;
104172;UQGT;10,042963028;50,953476281;;Gerstungen 6340;
104186;UQGTV;10,065021515;50,945192825;;Gerstungen 6707;
104171;UQHE;10,101558566;51,004931733;;Herleshausen LGr;
